Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
FTGoalsFor,1,2,Success
FTGoalsAgainst,6,2,Success
TeamGS,9,6,Success
TeamGC,10,10,Success
TeamPoints,10,10,Success
MatchWeek,10,10,Success
TeamFormPts,5,7,Success
WinStreak3,3,2,Success
WinStreak5,6,2,Success
LossStreak3,8,2,Success
LossStreak5,1,2,Success
TeamGD,9,10,Success
TeamDiffPts,10,6,Success
TeamDiffFormPts,10,7,Success
Opponent,N/A,N/A,No numeric data in column.
IsHome,Error,Error,"An error occurred during embedding: numpy boolean subtract, the `-` operator, is not supported, use the bitwise_xor, the `^` operator, or the logical_xor function instead."
